bleuenn-std-01
Date:,2012/11/24
Time:,11:01:05
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:L5,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:LTRO,,,Patient1:T12,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:LSHO,,,Patient1:C7,,,Patient1:BHD,,,Patient1:LBHD,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:LTOE,,,Patient1:RBHD,,,Patient1:T7,,,Patient1:RSHO,,,Patient1:RTRO,,,Patient1:RANK,,,Patient1:RTOE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
31,-3.251554,56.803131,604.596802,50.689888,81.670357,634.882751,-48.486397,76.685341,647.467468,-118.086304,119.545990,584.386902,11.129118,46.685062,748.272278,105.562164,87.979218,307.620758,-127.465271,81.655090,315.032990,-112.416718,80.909859,913.702148,14.431550,51.977440,933.758911,16.802488,62.056213,983.078674,-72.873856,114.585808,1012.874756,-146.568893,63.710972,39.987961,68.891792,45.208424,21.091579,-101.466141,54.042465,13.775080,-200.535889,134.494629,13.490442,87.550400,123.828453,1018.971069,13.533618,31.114147,801.379211,138.528854,96.023148,905.855530,99.109802,140.003754,564.830872,,,,,,
32,-3.368684,56.939579,604.620483,50.507687,81.937897,634.872192,-48.513351,76.851883,647.483521,-118.058563,119.953346,584.353638,10.813185,46.804882,748.259705,105.549698,87.763306,307.604706,-127.484604,81.954735,315.046814,-112.668762,81.597862,913.587952,14.009264,52.001053,933.754150,16.541071,62.110271,983.108154,-72.877380,115.134926,1012.879395,-146.562317,63.753136,40.038055,68.898506,45.197121,21.111006,-101.455879,54.051735,13.811229,-200.526489,134.512863,13.508196,87.625298,123.561005,1018.958618,13.134953,31.199375,801.365051,138.264557,95.223572,906.025635,99.247948,139.782791,564.817627,119.373337,66.259903,46.333340,175.657745,116.091125,19.726940
33,-3.502220,57.101978,604.659546,50.393410,81.997986,634.897461,-48.594440,77.085434,647.489624,-118.018555,120.396400,584.346741,10.478683,46.918137,748.256775,105.550476,87.564308,307.597504,-127.512688,82.249420,315.066223,-112.920280,82.215439,913.442078,13.572876,52.072262,933.766113,16.258135,62.202541,983.141174,-72.900192,115.675949,1012.891663,-146.567841,63.791203,40.070335,68.890266,45.197803,21.118149,-101.447754,54.071419,13.829424,-200.512909,134.506653,13.518738,87.664970,123.329559,1018.921326,12.720989,31.279760,801.338989,137.952103,94.390541,906.230408,99.385605,139.564255,564.823669,119.419373,66.096527,46.331799,175.709366,116.101585,19.676537
34,-3.659375,57.264969,604.692810,50.330875,81.857437,634.931580,-48.711254,77.390953,647.488647,-117.971779,120.853691,584.339355,10.147894,47.023323,748.245361,105.549263,87.366943,307.613525,-127.535423,82.488754,315.090820,-113.170921,82.784126,913.286560,13.147168,52.097813,933.763428,15.960600,62.299133,983.158630,-72.937149,116.199783,1012.923035,-146.559387,63.812927,40.094902,68.865715,45.235027,21.097715,-101.459610,54.070744,13.859130,-200.490067,134.513550,13.536633,87.720070,123.057198,1018.893494,12.327338,31.359926,801.314453,137.619736,93.579529,906.485474,99.480186,139.397141,564.839722,119.423767,66.081917,46.331715,175.757294,116.035751,19.672693
35,-3.829131,57.403290,604.712341,50.249729,81.763428,634.950745,-48.728760,77.390617,647.303528,-117.924927,121.282913,584.326172,9.802136,47.074013,748.251953,105.555351,87.173912,307.635284,-127.558044,82.720039,315.120514,-113.429802,83.360397,913.130981,12.719358,52.108322,933.758545,15.665203,62.370068,983.178711,-72.970665,116.697052,1012.979614,-146.529602,63.833099,40.131390,68.848892,45.261097,21.090219,-101.453033,54.051270,13.876582,-200.492645,134.557205,13.546902,87.780243,122.757118,1018.861755,11.899517,31.451925,801.305908,137.294327,92.782333,906.776489,99.528931,139.283630,564.856873,119.408936,66.139648,46.309067,175.773727,115.989838,19.664541
36,-3.994109,57.515480,604.712952,50.268696,81.432503,634.953186,-48.713940,77.284348,647.138123,-117.892937,121.712158,584.298645,9.483534,47.087151,748.265991,105.554214,87.028229,307.635956,-127.579849,82.978333,315.128601,-113.674370,83.952652,912.997681,12.285370,52.149029,933.774414,15.359072,62.438385,983.215576,-72.997467,117.178322,1013.027649,-146.498962,63.851128,40.163166,68.841492,45.265125,21.100700,-101.434952,54.068268,13.871862,-200.514008,134.617249,13.549188,87.819221,122.465096,1018.832703,11.433268,31.563360,801.278320,136.990326,91.872383,907.070129,99.623566,139.116455,564.872925,119.399117,66.145264,46.276695,175.776657,115.970413,19.628439
37,-4.144603,57.591911,604.718262,50.452972,80.644348,634.955750,-48.908031,77.846619,647.291199,-117.840027,122.153366,584.247253,9.183113,47.114979,748.258423,105.544540,86.925919,307.632263,-127.601738,83.254738,315.125275,-113.902222,84.595924,912.882202,11.868568,52.153206,933.786743,15.058786,62.499363,983.264038,-73.021469,117.661957,1013.046570,-146.497940,63.874889,40.197720,68.840508,45.266861,21.105768,-101.435577,54.104259,13.885240,-200.499588,134.649231,13.568521,87.846306,122.191345,1018.839111,10.968935,31.658905,801.250671,136.675125,90.841454,907.329529,99.785271,138.843353,564.906921,119.393982,66.066895,46.285004,175.820709,115.917191,19.585966
38,-4.270236,57.662670,604.716064,50.358196,80.561951,634.956238,-49.101463,78.426430,647.428345,-117.746719,122.578209,584.199280,8.871487,47.149254,748.252014,105.549561,86.807793,307.635376,-127.633064,83.557701,315.134644,-114.135788,85.266861,912.771667,11.478763,52.110538,933.774475,14.787770,62.538803,983.314209,-73.045822,118.144653,1013.040894,-146.528137,63.930897,40.228806,68.841797,45.263294,21.105713,-101.469215,54.116112,13.916781,-200.443192,134.637878,13.620099,87.901344,121.858582,1018.857788,10.498758,31.709209,801.251282,136.352814,89.800255,907.550293,99.934761,138.567245,564.944153,119.359612,66.051277,46.290936,175.874435,115.878738,19.558575
39,-4.402786,57.746395,604.692810,49.950275,81.296715,634.943054,-49.173233,78.663773,647.402222,-117.644714,123.025116,584.158936,8.573142,47.193607,748.260437,105.581268,86.683968,307.639038,-127.645561,83.857399,315.145935,-114.360802,85.926598,912.679443,11.110422,52.086426,933.752380,14.522433,62.557610,983.355286,-73.089516,118.621628,1013.015198,-146.553253,64.010178,40.242588,68.831367,45.272465,21.100079,-101.484856,54.102768,13.946994,-200.412979,134.648483,13.654761,87.961380,121.444206,1018.881836,10.049573,31.740314,801.260071,136.046783,88.831665,907.795105,100.059792,138.348022,564.972778,119.332870,66.060188,46.268475,175.890396,115.878014,19.535830
40,-4.535342,57.814274,604.682495,49.813576,81.353584,634.977783,-49.269669,78.957306,647.368103,-117.543541,123.507034,584.102600,8.306694,47.250454,748.276733,105.632675,86.584518,307.643585,-127.622765,84.128777,315.166901,-114.546837,86.577301,912.616699,10.776072,52.046684,933.726868,14.249059,62.587818,983.388367,-73.140175,119.082664,1012.978149,-146.534592,64.071938,40.264580,68.803543,45.294598,21.088400,-101.475517,54.118652,13.965251,-200.421249,134.674423,13.668609,87.985077,121.008743,1018.937927,9.641775,31.767923,801.264282,135.740967,87.921051,908.073486,100.220840,138.075302,565.026306,119.363945,65.989540,46.269974,175.899216,115.858482,19.504725
